# Assembly name:  bCalCai1.0.p
# Organism name:  Callipepla californica brunnescens (California quail)
# Isolate:  MVZ:Bird:193975
# Sex:  male
# Taxid:          2893758
# BioSample:      SAMN26894057
# BioProject:     PRJNA819182
# Submitter:      UCLA
# Date:           2022-05-05
# Assembly type:  haploid (principal pseudohaplotype of diploid)
# Release type:   major
# Assembly level: Scaffold
# Genome representation: full
# WGS project:    JALIRH01
# Assembly method: HiFiasm v. 0.16.1-r375; purge_dups v. 1.2.5; SALSA2 v. 2
# Expected final version: yes
# Genome coverage: 40x
# Sequencing technology: PacBio Sequel IIe; Dovetail's OmniC; Illumina NovaSeq
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_023055505.1
# Linked assembly: GCA_023055725.1 (alternate pseudohaplotype of diploid)
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_023055515.1		Primary Assembly
## GCA_023055525.1		non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
SCAF_252	unplaced-scaffold	na	na	JALIRH010000252.1	<>	na	Primary Assembly	59819	na
SCAF_253	unplaced-scaffold	na	na	JALIRH010000253.1	<>	na	Primary Assembly	59240	na
SCAF_254	unplaced-scaffold	na	na	JALIRH010000254.1	<>	na	Primary Assembly	54325	na
SCAF_255	unplaced-scaffold	na	na	JALIRH010000255.1	<>	na	Primary Assembly	53008	na
SCAF_256	unplaced-scaffold	na	na	JALIRH010000256.1	<>	na	Primary Assembly	52811	na
SCAF_257	unplaced-scaffold	na	na	JALIRH010000257.1	<>	na	Primary Assembly	50680	na
SCAF_258	unplaced-scaffold	na	na	JALIRH010000258.1	<>	na	Primary Assembly	50358	na
SCAF_259	unplaced-scaffold	na	na	JALIRH010000259.1	<>	na	Primary Assembly	49663	na
SCAF_260	unplaced-scaffold	na	na	JALIRH010000260.1	<>	na	Primary Assembly	48793	na
SCAF_261	unplaced-scaffold	na	na	JALIRH010000261.1	<>	na	Primary Assembly	47362	na
SCAF_262	unplaced-scaffold	na	na	JALIRH010000262.1	<>	na	Primary Assembly	46555	na
SCAF_263	unplaced-scaffold	na	na	JALIRH010000263.1	<>	na	Primary Assembly	46125	na
SCAF_264	unplaced-scaffold	na	na	JALIRH010000264.1	<>	na	Primary Assembly	45581	na
SCAF_265	unplaced-scaffold	na	na	JALIRH010000265.1	<>	na	Primary Assembly	43635	na
SCAF_266	unplaced-scaffold	na	na	JALIRH010000266.1	<>	na	Primary Assembly	40444	na
SCAF_267	unplaced-scaffold	na	na	JALIRH010000267.1	<>	na	Primary Assembly	40361	na
SCAF_268	unplaced-scaffold	na	na	JALIRH010000268.1	<>	na	Primary Assembly	40079	na
SCAF_269	unplaced-scaffold	na	na	JALIRH010000269.1	<>	na	Primary Assembly	39410	na
SCAF_270	unplaced-scaffold	na	na	JALIRH010000270.1	<>	na	Primary Assembly	39075	na
SCAF_271	unplaced-scaffold	na	na	JALIRH010000271.1	<>	na	Primary Assembly	38798	na
SCAF_272	unplaced-scaffold	na	na	JALIRH010000272.1	<>	na	Primary Assembly	38105	na
SCAF_273	unplaced-scaffold	na	na	JALIRH010000273.1	<>	na	Primary Assembly	38000	na
SCAF_274	unplaced-scaffold	na	na	JALIRH010000274.1	<>	na	Primary Assembly	36661	na
SCAF_275	unplaced-scaffold	na	na	JALIRH010000275.1	<>	na	Primary Assembly	34269	na
SCAF_276	unplaced-scaffold	na	na	JALIRH010000276.1	<>	na	Primary Assembly	34224	na
SCAF_277	unplaced-scaffold	na	na	JALIRH010000277.1	<>	na	Primary Assembly	33858	na
SCAF_278	unplaced-scaffold	na	na	JALIRH010000278.1	<>	na	Primary Assembly	33754	na
SCAF_279	unplaced-scaffold	na	na	JALIRH010000279.1	<>	na	Primary Assembly	33495	na
SCAF_280	unplaced-scaffold	na	na	JALIRH010000280.1	<>	na	Primary Assembly	33328	na
SCAF_281	unplaced-scaffold	na	na	JALIRH010000281.1	<>	na	Primary Assembly	33051	na
SCAF_282	unplaced-scaffold	na	na	JALIRH010000282.1	<>	na	Primary Assembly	32450	na
SCAF_283	unplaced-scaffold	na	na	JALIRH010000283.1	<>	na	Primary Assembly	32156	na
SCAF_284	unplaced-scaffold	na	na	JALIRH010000284.1	<>	na	Primary Assembly	32023	na
SCAF_285	unplaced-scaffold	na	na	JALIRH010000285.1	<>	na	Primary Assembly	31590	na
SCAF_286	unplaced-scaffold	na	na	JALIRH010000286.1	<>	na	Primary Assembly	31291	na
SCAF_287	unplaced-scaffold	na	na	JALIRH010000287.1	<>	na	Primary Assembly	28889	na
SCAF_288	unplaced-scaffold	na	na	JALIRH010000288.1	<>	na	Primary Assembly	28526	na
SCAF_289	unplaced-scaffold	na	na	JALIRH010000289.1	<>	na	Primary Assembly	28370	na
SCAF_290	unplaced-scaffold	na	na	JALIRH010000290.1	<>	na	Primary Assembly	28312	na
SCAF_291	unplaced-scaffold	na	na	JALIRH010000291.1	<>	na	Primary Assembly	28062	na
SCAF_292	unplaced-scaffold	na	na	JALIRH010000292.1	<>	na	Primary Assembly	26816	na
SCAF_293	unplaced-scaffold	na	na	JALIRH010000293.1	<>	na	Primary Assembly	26542	na
SCAF_294	unplaced-scaffold	na	na	JALIRH010000294.1	<>	na	Primary Assembly	26487	na
SCAF_295	unplaced-scaffold	na	na	JALIRH010000295.1	<>	na	Primary Assembly	26432	na
SCAF_296	unplaced-scaffold	na	na	JALIRH010000296.1	<>	na	Primary Assembly	26351	na
SCAF_297	unplaced-scaffold	na	na	JALIRH010000297.1	<>	na	Primary Assembly	26316	na
SCAF_298	unplaced-scaffold	na	na	JALIRH010000298.1	<>	na	Primary Assembly	26177	na
SCAF_299	unplaced-scaffold	na	na	JALIRH010000299.1	<>	na	Primary Assembly	26024	na
SCAF_300	unplaced-scaffold	na	na	JALIRH010000300.1	<>	na	Primary Assembly	25782	na
SCAF_301	unplaced-scaffold	na	na	JALIRH010000301.1	<>	na	Primary Assembly	25142	na
SCAF_302	unplaced-scaffold	na	na	JALIRH010000302.1	<>	na	Primary Assembly	25014	na
SCAF_303	unplaced-scaffold	na	na	JALIRH010000303.1	<>	na	Primary Assembly	24715	na
SCAF_304	unplaced-scaffold	na	na	JALIRH010000304.1	<>	na	Primary Assembly	24687	na
SCAF_305	unplaced-scaffold	na	na	JALIRH010000305.1	<>	na	Primary Assembly	24459	na
SCAF_306	unplaced-scaffold	na	na	JALIRH010000306.1	<>	na	Primary Assembly	24231	na
SCAF_307	unplaced-scaffold	na	na	JALIRH010000307.1	<>	na	Primary Assembly	24044	na
SCAF_308	unplaced-scaffold	na	na	JALIRH010000308.1	<>	na	Primary Assembly	23655	na
SCAF_309	unplaced-scaffold	na	na	JALIRH010000309.1	<>	na	Primary Assembly	23559	na
SCAF_310	unplaced-scaffold	na	na	JALIRH010000310.1	<>	na	Primary Assembly	23301	na
SCAF_311	unplaced-scaffold	na	na	JALIRH010000311.1	<>	na	Primary Assembly	23285	na
SCAF_312	unplaced-scaffold	na	na	JALIRH010000312.1	<>	na	Primary Assembly	22998	na
SCAF_313	unplaced-scaffold	na	na	JALIRH010000313.1	<>	na	Primary Assembly	22872	na
SCAF_314	unplaced-scaffold	na	na	JALIRH010000314.1	<>	na	Primary Assembly	22637	na
SCAF_315	unplaced-scaffold	na	na	JALIRH010000315.1	<>	na	Primary Assembly	21974	na
SCAF_316	unplaced-scaffold	na	na	JALIRH010000316.1	<>	na	Primary Assembly	21347	na
SCAF_317	unplaced-scaffold	na	na	JALIRH010000317.1	<>	na	Primary Assembly	21307	na
SCAF_318	unplaced-scaffold	na	na	JALIRH010000318.1	<>	na	Primary Assembly	20735	na
SCAF_319	unplaced-scaffold	na	na	JALIRH010000319.1	<>	na	Primary Assembly	19853	na
SCAF_320	unplaced-scaffold	na	na	JALIRH010000320.1	<>	na	Primary Assembly	16962	na
mtDNA	assembled-molecule	MT	Mitochondrion	CM041362.1	<>	na	non-nuclear	16706	na
